runame	ruID	por	dstart	dend	xyears	sr	archive	ref	tsource	denter	res	ttaken	notes	year	occ	com
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	tailor	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	shoemaker	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	surgeon	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	manufacturer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	officer of excise	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	glazier	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	bobbin maker	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	barber	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	hooper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1813	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	carrier	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	gentleman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	gentleman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	farmer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	artist	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	chaise driver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	gentleman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	hooper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	aabaptism without named parents	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	farmer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	waller	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	waller	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	joiner	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	solicitor	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	surgeon	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	gardener	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	tanner	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	quarryman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	sadler	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1814	shoemaker	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	spirit merchant	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	carrier	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	waller	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	grocer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	hooper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	gentleman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	farmer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	servant	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	miller	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	hooper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	waiter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	manufacturer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	chaise driver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	yeoman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	clerk	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1815	glazier	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	yeoman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	hooper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	hostler	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	carrier	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	housekeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	shopkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	surgeon	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	tailor	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	esquire	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	yeoman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	waller	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	shoemaker	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1816	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	chaise driver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	quarryman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	artist	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	esquire	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	esquire	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	manufacturer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	waller	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	officer of excise	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	hooper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	cordwainer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	carrier	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	barber	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	manufacturer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1817	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	glazier	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	surgeon	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	clerk	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	coachman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	hostler	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	gardener	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	horsekeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	quarryman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	officer of excise	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1818	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	manufacturer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	chaise driver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	waller	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	teacher	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	tailor	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	potter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	surgeon	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	hooper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1819	shoemaker	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	esquire	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	servant	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	aaillegitimate	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	chaise driver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	innkeeper	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	labourer	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	clerk	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	carpenter	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	coachman	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	weaver	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	bobbin turner	
Ambleside	WML/001	rose	10 Feb 1813	31 Dec 1820		1	Cumbria Record Office (Kendal)		Ts	19 Oct 2005	AW	10		1820	labourer	
