runame	ruID	por	dstart	dend	xyears	sr	archive	ref	tsource	denter	res	ttaken	notes	year	occ	com
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1813	blacksmith	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1813	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1813	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1813	carpenter	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1813	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1813	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	aged 10
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1814	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1815	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1815	blacksmith	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1815	carpenter	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1815	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1815	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1815	carpenter	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	carpenter	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1816	carpenter	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	blacksmith	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	brewer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1817	carpenter	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1818	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1818	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1818	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1818	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1818	aaillegitimate	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1818	wheelwright	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1818	carpenter	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1818	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1819	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1819	blacksmith	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1819	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1819	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1819	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1819	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1820	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1820	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1820	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1820	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1820	blacksmith	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1820	labourer	
Abington Piggotts	CAM/001	rose	31 Jan 1813	29 Oct 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	4		1820	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1813	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1813	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1813	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1814	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1814	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1814	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1814	blacksmith	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1814	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1814	butcher	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1814	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1814	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1815	labourer and clerk	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1815	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1815	farmer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1816	aaillegitimate	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1816	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1816	servant	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1816	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1816	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1817	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1817	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1817	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1817	farmer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1817	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1818	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1818	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1818	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1818	gentleman	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1818	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1819	parish clerk	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1819	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1819	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1819	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1820	shepherd	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1820	gardener	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1820	labourer	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1820	carpenter	
Arrington	CAM/002	rose	07 Mar 1813	19 Nov 1820		1	Cambridgeshire Record Office		Ts	20 Jan 2005	JB	3		1820	farmer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	carpenter	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	soldier	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	soldier	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	farmer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	farmer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	carpenter	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1813	butcher	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	victualler	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	blacksmith	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	aaillegitimate	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1814	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	carpenter	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	thatcher	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	victualler	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	bailiff	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	miller	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1815	butcher	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	blacksmith	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	miller's labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	farmer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	aaillegitimate	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	tailor	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	farmer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	baker	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1816	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1817	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1817	miller	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1817	miller	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1817	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1817	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1817	butcher	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1817	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	gardener	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	labourer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	farmer	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	aaillegitimate	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	blacksmith	
Ashley cum Silverley	CAM/003	rose	10 Jan 1813	24 Dec 1820		1	Cambridgeshire Record Office		Ts	18 Jan 2005	PK	6		1818	victualler	
